"Component","Description","references:Description","RegulatorySummary","references:RegulatorySummary","References","title:Description","title:UpstreamRegulator","UpstreamRegulator","references:UpstreamRegulator"
"AKT","Homozygous Akt1‐deficient (Akt1−/−) mice and Akt2−/− mice show similar phenotypes, including bone growth retardation","20187155","Inhibition of Akt is caused by an increase in protein phosphatase 2A (PP2A)-mediated dephosphorylation (reference not chondrocyte specific)","20182580, 10995457, 15367694","",,,,
"","Phosphoinositide‐dependent serine/threonine protein kinase Akt, also called protein kinase B (PKB)","","Pi3K activates Akt by phosphorylation in chondrocytes. This constitutes the canonical PI3K/Akt pathway","25659655","",,,,
"","Akt1 MGI:87986 NCBI Gene: 11651. Akt1 is the dominant form (among Akt1, Akt2 and Akt3) in skeletal development & in chondrocyte","20187155","","25659655","",,,,
"","The Pi3K/Akt axis integrates signals from pro-catabolic and pro-anabolic stimuli and regulates seemingly opposite functions","25659655","","25659655","",,,,
"ALK1","Activin A receptor, type II-like 1 (Acvrl1) (TβRII) MGI:1338946, NCBI Gene: 11482","","BMPs bind to ALK1 receptors, which subsequently trnasduces signal through the R-smads: ""BMPs transduce signals through complexes of type I and type II serine/threonine kinase receptors. Upon BMP binding, type II receptors phosphorylate serine/threonine residues in type I receptors. Activated type I receptors phosphorylate, and thereby activate, receptor-regulated SMAD (R-SMAD)1, R-SMAD5 and R-SMAD8. Subsequently, these R-SMADs recruit and bind SMAD4. These SMAD complexes enter the nucleus and regulate transcription of target genes""","17065231, 14656483, 31450621","","ALK1",,,
"","Receptors of the TGF super familly, they normally function in dimers and may be activated both by TGF-beta of BMPs","","","17065231, 14656483, 31450621","","",,,
"","Upon ligand binding, they tranduces signal via phosphorylation of downstream proteins, such as, Smads. They would promote rather pro-catabolic pathways and an increase of ALK1 amount and expression was obserged in ageing population and OA.","24928920, 21638205, 28148919, 31450621","","17065231, 14656483, 31450621","","",,,
"ALK5","ALK5 or transforming growth factor, beta receptor I (TβRI). Tgfbr1 MGI:98728, NCBI Gene: 21812","",,,"","ALK5",,,
"","Transduces pro-anabolic signals upon TGFbeta ligands binding, and shows opposite effect with ALK1","18333754, 31450621",,,"","",,,
"","The ration ALK5/ALK1 decreases with ageing and osteoarthritis(OA). ALK5 downstream signalling would have a protective role against OA.","21638205, 24928920, 17391995, 27563484, 28148919",,,"","",,,
"","Loss of ALK5 induces osteoarthritis in mouse","28716756",,,"","",,,
"","The node ALK5 represents the effective heterodimer of type II receptors and the ALK5 type I receptor","28148919",,,"","",,,
"ATF2","Activating transcription factor 2 (Atf2 or Creb2): MGI:109349 , NCBI gene:11909","","p38 and Smad3 are different actors TFG-β signal transduction pathways which act synergistically to amplify TGF-β signal. Together they promote ATF2 transcriptional activity. Smad3 would form an heterocomplex with p38, which would prevent p38 from dephosphorylation and inhibition, hence promoting even more ATF2 transcriptional activation","10085140, 20506210","",,,,
"","ATF2 also called CRE-BP1, CREB2, is a cAMP response element (CRE). It has a transcriptional activity and acts downstream of the TGF-β pathway","10085140","Smad3 and ATF2 cooperate to transduce TGFB effect on chondrocyte maturation","12878171","",,,,
"","ATF-2 activation inhibits chondrocyte hypertrophy in mouse articular cartilage","20506210","ATF2 acts as a TF downstream of the MAPK/p38 pathway in articular cartilage","18698181","",,,,
"","ATF2 activation, downstream of the p38 and JNK kinase, may be involved in both pro-catabolic and pro-anabolic processes, the exact mechanisms are yet to be discovered.","20506210, 18698181, 33188182","ATF2 is aslo activated by the JNK kinase and activated downstream of inflammation pathway, those JNK/ATF2 specific effects are directly implemented at transcriptional level (see GRN)","7824938, 33188182, 18698181","",,,,
"ATF4","Activating transcription factor 4 (Atf4). Also known as AP-1 or CREB, MGI:88096, NCBI gene: 11911","","ATF4 function is regulated by phosphorylation. PKA regulates ATF4 by phosphorylation in osteoblast","17141628, 24418675","",,"ERK1/2","This interaction is to account for the capacity of BMP2 to activate ATF4 through the MAPK cascade",""
"","ATF4 is a leucine-zipper-containing protein of the cAMP response element-binding protein (CREB) family. Ablation of Atf4 (Atf4−/−) in mice leads to severe skeletal defects, including delayed ossification and low bone mass, short stature and short limbs. Atf4 is expressed in proliferative and prehypertrophic growth plate and articular chondrocytes","19906842","BMP2 induces ATF4 phosphorylation with downstream signaling involving Ras-ERK1/2-RSK2 activation.","24418675","",,"","",""
